Club,League,League_Country
AC Milan,Serie A,Italy
Ajax Amsterdam,Eredivisie,Netherlands
Al Sadd SC,Qatar Stars League,Qatar
Al-Ahli Saudi FC,Saudi Pro League,Saudi Arabia
Al-Ahly SC,Egyptian Premier League,Egypt
Al-Ain FC,Arabian Gulf League,United Arab Emirates
Al-Hilal FC,Saudi Pro League,Saudi Arabia
Al-Ittihad Kalba SC,Saudi Pro League,Saudi Arabia
Al-Nassr FC,Saudi Pro League,Saudi Arabia
Arsenal FC,English Premier League,England
Atlanta United,Major League Soccer,United States
Atletico Paranaense,Brasileirao Serie A,Brazil
Bate Borisov,Belarusian Premier League,Belarus
Bayern Munich,Bundesliga,Germany
Boca Juniors,Argentine Primera Division,Argentina
Club Brugge,Belgian Pro League,Belgium
CSKA Moscow,Russian Premier League,Russain
Esperance Tunis,Tunisian Ligue Professionnelle 1,Tunisia
FC Barcelona,La Liga,Spain
Feyenoord,Eredivisie,Netherlands
Flamengo,Brasileirao Serie A,Brazil
Guangzhou Evergrande,Chinese Super League,China
Hokkaido Consadole Sapporo,J-League 1,Japan
Inter Milan,Serie A,Italy
Juventus,Serie A,Italy
Kashima Antlers,J-League 1,Japan
Kawasaki Frontale,J-League 1,Japan
LA Galaxy,Major League Soccer,United States
Manchester City,English Premier League,England
Manchester United,English Premier League,England
Melbourne Victory,A-League,Australia
Napoli SSC,Serie A,Italy
Olympique Lyonnais,Ligue 1,France
Olympique Marseille,Ligue 1,France
Palmeiras,Brasileirao Serie A,Brazil
Paris St. Germain,Ligue 1,France
Portland Timbers,Major League Soccer,United States
Racing Club,Argentine Primera Division,Argentina
Real Madrid,La Liga,Spain
Santos FC,Brasileirao Serie A,Brazil
Schalke 04,Bundesliga,Germany
Seattle Sounders,Major League Soccer,United States
Sevilla,La Liga,Spain
Shanghai SIPG,Chinese Super League,China
Sydney FC,A-League,Australia
TP Mazembe,Linafoot,Congo
Valencia CF,La Liga,Spain
Vancouver Whitecaps,Major League Soccer,United States
Wydad Athletic Club,Botola,Morocco
Zamalek SC,Egyptian Premier League,Egypt
